Product_ID,Product_Category,Orders,Actual_Returns,Avg_Risk_Score,Actual_Return_Rate_%
PROD0497,Clothing,6,1,0.589,16.67
PROD0038,Clothing,3,2,0.584,66.67
PROD0363,Clothing,3,1,0.574,33.33
PROD0377,Clothing,10,3,0.571,30.0
PROD0325,Home Appliances,5,2,0.568,40.0
PROD0285,Clothing,9,5,0.564,55.56
PROD0032,Toys,10,3,0.563,30.0
PROD0432,Home Appliances,13,4,0.56,30.77
PROD0107,Clothing,6,2,0.559,33.33
PROD0307,Clothing,8,4,0.556,50.0
PROD0109,Clothing,10,3,0.554,30.0
PROD0370,Clothing,19,9,0.55,47.37
PROD0450,Clothing,6,3,0.55,50.0
PROD0152,Clothing,10,3,0.548,30.0
PROD0202,Electronics,10,5,0.548,50.0
PROD0140,Clothing,10,0,0.547,0.0
PROD0418,Clothing,10,2,0.546,20.0
PROD0279,Clothing,12,4,0.546,33.33
PROD0186,Electronics,8,3,0.545,37.5
PROD0472,Toys,6,4,0.545,66.67
PROD0375,Clothing,8,4,0.545,50.0
PROD0316,Clothing,12,3,0.545,25.0
PROD0189,Clothing,6,0,0.544,0.0
PROD0491,Clothing,6,2,0.543,33.33
PROD0430,Books,6,2,0.542,33.33
PROD0014,Books,5,2,0.542,40.0
PROD0461,Clothing,8,5,0.542,62.5
PROD0170,Clothing,9,3,0.542,33.33
PROD0312,Clothing,11,3,0.542,27.27
PROD0498,Clothing,7,5,0.541,71.43
PROD0266,Clothing,12,5,0.541,41.67
PROD0449,Toys,7,3,0.541,42.86
PROD0374,Clothing,11,1,0.54,9.09
PROD0081,Books,6,2,0.54,33.33
PROD0273,Home Appliances,14,5,0.54,35.71
PROD0172,Books,15,2,0.539,13.33
PROD0381,Electronics,16,6,0.538,37.5
PROD0368,Clothing,14,3,0.538,21.43
PROD0071,Clothing,8,1,0.538,12.5
PROD0015,Clothing,8,2,0.537,25.0
PROD0005,Clothing,7,2,0.537,28.57
PROD0211,Clothing,12,6,0.536,50.0
PROD0214,Books,10,6,0.536,60.0
PROD0268,Clothing,8,3,0.535,37.5
PROD0274,Clothing,5,3,0.535,60.0
PROD0348,Clothing,11,4,0.534,36.36
PROD0102,Electronics,11,4,0.534,36.36
PROD0064,Electronics,4,3,0.533,75.0
PROD0428,Clothing,12,5,0.533,41.67
PROD0470,Clothing,4,1,0.533,25.0
PROD0132,Clothing,10,2,0.533,20.0
PROD0385,Toys,9,0,0.532,0.0
PROD0256,Books,15,4,0.532,26.67
PROD0270,Toys,11,3,0.532,27.27
PROD0467,Electronics,12,3,0.532,25.0
PROD0157,Home Appliances,10,4,0.531,40.0
PROD0234,Home Appliances,10,3,0.531,30.0
PROD0346,Electronics,9,3,0.53,33.33
PROD0246,Toys,14,3,0.53,21.43
PROD0275,Clothing,8,1,0.529,12.5
PROD0313,Electronics,5,0,0.529,0.0
PROD0052,Clothing,12,4,0.529,33.33
PROD0263,Clothing,8,1,0.529,12.5
PROD0451,Electronics,14,6,0.529,42.86
PROD0305,Home Appliances,7,2,0.528,28.57
PROD0261,Clothing,8,4,0.528,50.0
PROD0177,Books,8,2,0.528,25.0
PROD0281,Electronics,10,4,0.527,40.0
PROD0253,Clothing,8,1,0.527,12.5
PROD0249,Clothing,9,3,0.526,33.33
PROD0402,Clothing,11,3,0.526,27.27
PROD0393,Toys,9,2,0.526,22.22
PROD0496,Electronics,9,3,0.525,33.33
PROD0439,Home Appliances,10,2,0.525,20.0
PROD0208,Clothing,9,5,0.525,55.56
PROD0466,Clothing,12,3,0.524,25.0
PROD0092,Clothing,12,6,0.523,50.0
PROD0269,Clothing,14,5,0.523,35.71
PROD0456,Clothing,8,4,0.523,50.0
PROD0059,Home Appliances,7,3,0.523,42.86
PROD0355,Home Appliances,12,8,0.522,66.67
PROD0089,Home Appliances,6,1,0.522,16.67
PROD0488,Electronics,13,3,0.522,23.08
PROD0179,Clothing,12,0,0.522,0.0
PROD0394,Electronics,11,2,0.522,18.18
PROD0373,Home Appliances,11,5,0.522,45.45
PROD0066,Clothing,13,4,0.521,30.77
PROD0482,Clothing,7,2,0.521,28.57
PROD0227,Clothing,9,4,0.521,44.44
